,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_rate_drop,param_skip_drop,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,143.6104594707489,12.651022911071777,-0.403321914986096,-0.39213035553984454,0.1,0.1,"{'rate_drop': 0.1, 'skip_drop': 0.1}",10,-0.4031152594713466,-0.39229777194142434,-0.4034758128770524,-0.3919251461655399,-0.40339828999926725,-0.392097752692398,-0.4033522207567466,-0.3922759653544511,-0.40326799176764994,-0.3920551415454091,10.779505188870564,3.742958045209313,0.00012332917274996623,0.00014004388422971857
1,169.00176553726197,9.878768682479858,-0.40331710620543904,-0.39201321923188903,0.1,0.2,"{'rate_drop': 0.1, 'skip_drop': 0.2}",9,-0.40305486980976213,-0.39183664696509085,-0.4035472425469763,-0.392009535940037,-0.40332911676509164,-0.39206112290567924,-0.40324474392102766,-0.3920014948293041,-0.40340955803402834,-0.39215729551933404,8.789881730070967,1.0876430995672468,0.00016471712564114158,0.00010428953180796567
2,162.99610872268676,13.328489971160888,-0.40332523452510455,-0.3920976458709805,0.1,0.3,"{'rate_drop': 0.1, 'skip_drop': 0.3}",12,-0.4031774889222583,-0.39225006978032656,-0.4036217325285693,-0.39201161365635795,-0.4033292043566553,-0.3920604664043072,-0.4032085987600549,-0.3920834138557624,-0.4032891476802299,-0.39208266565814864,15.510477985510056,2.067999121745733,0.00015789986530223126,8.055291412353007e-05
3,168.16805787086486,11.198102855682373,-0.40335534275673096,-0.39213383805785545,0.1,0.4,"{'rate_drop': 0.1, 'skip_drop': 0.4}",33,-0.4030972857274161,-0.3922051355607477,-0.4035934918209975,-0.3920176408984311,-0.40342906072808393,-0.3921678007194212,-0.40332240961862337,-0.3921577515635519,-0.40333446575543597,-0.3921208615471253,9.250726669036355,2.6638304135611506,0.00016140837176505205,6.399815894697752e-05
4,177.39687266349793,9.102733182907105,-0.403306113276693,-0.39214193488531873,0.1,0.5,"{'rate_drop': 0.1, 'skip_drop': 0.5}",6,-0.4030902083238875,-0.39224572013865977,-0.40365512826480987,-0.3919896014552343,-0.4033178686021853,-0.39203711253444323,-0.4031809054339452,-0.3921320508427108,-0.40328645540031594,-0.3923051894555456,6.218609351273701,0.3829065375488421,0.00019216044191217542,0.0001197617025377047
5,178.63206033706666,9.166460084915162,-0.40334894597941107,-0.39219900228089377,0.1,0.6,"{'rate_drop': 0.1, 'skip_drop': 0.6}",29,-0.40312445142983805,-0.39232117565838887,-0.40369178920677956,-0.39212263696589783,-0.4033966570473081,-0.39217312049587333,-0.40319475953596673,-0.3921170419694728,-0.40333707226641763,-0.3922610363148358,1.8031060321438288,0.32346241817245197,0.00019704324635019528,7.999196998971359e-05
6,178.50308828353883,9.232854127883911,-0.40334183006695795,-0.3921325975542592,0.2,0.1,"{'rate_drop': 0.2, 'skip_drop': 0.1}",20,-0.40311580449961015,-0.39212973182673194,-0.40370707595846894,-0.3921662863856093,-0.4033020053480629,-0.3921379643614676,-0.4033045964594149,-0.39206716958148463,-0.40327966782338004,-0.3921618356160028,1.3638757433016349,0.1065285115129913,0.00019561635359272218,3.5517984873922913e-05
7,178.46132597923278,9.153683996200561,-0.40334232145551263,-0.39203008476664547,0.2,0.2,"{'rate_drop': 0.2, 'skip_drop': 0.2}",22,-0.4031158162426793,-0.3921481219153562,-0.403491708568478,-0.3917189571650173,-0.4034237866722564,-0.39209335122293754,-0.40330886448232345,-0.39206850830218454,-0.40337143130107345,-0.39212148522773166,0.8355415556120689,0.17980701917871972,0.0001282376942640501,0.0001578392915800712
8,178.76392974853516,9.118767738342285,-0.40335002748656484,-0.39217177591613367,0.2,0.3,"{'rate_drop': 0.2, 'skip_drop': 0.3}",30,-0.40313415890533927,-0.3922935719433335,-0.40357538789775743,-0.392107941931905,-0.4033988285472261,-0.3920727540912978,-0.4033274383233393,-0.39219723056855293,-0.4033143236149761,-0.392187381045579,0.9392087090054807,0.19180519071076538,0.00014251542766798958,7.694911431949194e-05
9,178.6035847187042,9.17726559638977,-0.40331674517167065,-0.39216117617041074,0.2,0.4,"{'rate_drop': 0.2, 'skip_drop': 0.4}",8,-0.40305354276525623,-0.3922743791767104,-0.40355848438627745,-0.3919864620493886,-0.40334677930378404,-0.39203328920814867,-0.4032825623431865,-0.39215031139692985,-0.4033423570386491,-0.3923614390208763,1.3269006004493653,0.1619077845493428,0.00016151777719453021,0.00014136355429587445
10,178.38749799728393,9.109662675857544,-0.40334464604257325,-0.39211785307479297,0.2,0.5,"{'rate_drop': 0.2, 'skip_drop': 0.5}",24,-0.4031153961967206,-0.3921266087561245,-0.4035558279568895,-0.39192092178881177,-0.4034842169977937,-0.39229925619960926,-0.40322979466111136,-0.39212865017368814,-0.4033379940998159,-0.3921138284557311,0.7227544501824343,0.2093789529143419,0.00016116359900354677,0.00011991535510521314
11,178.43267669677735,9.24496774673462,-0.40328011321819285,-0.3920890435267872,0.2,0.6,"{'rate_drop': 0.2, 'skip_drop': 0.6}",2,-0.40310053747536223,-0.3922666620998523,-0.4034946260973742,-0.3918261635478574,-0.4033023188835321,-0.39205820051311124,-0.40319939486747314,-0.39209706614396156,-0.403303688625881,-0.3921971253291534,1.1148844085658725,0.31960753330747765,0.00013101727652330646,0.00015056664351807128
12,178.77132511138916,9.395703172683715,-0.4033483814134226,-0.39215391572238134,0.3,0.1,"{'rate_drop': 0.3, 'skip_drop': 0.1}",28,-0.4030597178442761,-0.3922507710921288,-0.4035990766733307,-0.39196715248072483,-0.4034356330464598,-0.3921293159503003,-0.40331800594383604,-0.392230110892156,-0.40332947343730935,-0.39219222819659655,1.2112938776625457,0.309653022747787,0.00017610675621893267,0.0001021177452227376
13,178.42803912162782,9.30741262435913,-0.40332670527670084,-0.3921247962072357,0.3,0.2,"{'rate_drop': 0.3, 'skip_drop': 0.2}",14,-0.40312106256061,-0.39225158931535187,-0.4035135694250566,-0.392010748300857,-0.4033914338805134,-0.3921784625032952,-0.4031283826187861,-0.39195248470771976,-0.4034790777848816,-0.39223069620895457,0.7714162876717371,0.2869809317530797,0.00016967390746372977,0.00012072245174560414
14,178.69941301345824,9.33502950668335,-0.4033651260456472,-0.39219272758809626,0.3,0.3,"{'rate_drop': 0.3, 'skip_drop': 0.3}",35,-0.40315798679717085,-0.3922945160229362,-0.4035966926020845,-0.39205525410196357,-0.40339449932270527,-0.39219828441422916,-0.40329959947089006,-0.3922821423334818,-0.4033768519023108,-0.3921334410678704,0.7318314604852486,0.38675922707857013,0.00014270518226150463,9.033339509413001e-05
15,178.64154624938965,9.293981647491455,-0.40331092697830423,-0.39207937535619114,0.3,0.4,"{'rate_drop': 0.3, 'skip_drop': 0.4}",7,-0.40296446549095916,-0.3918983063855554,-0.4036250152509065,-0.39215093823380204,-0.4035025387617072,-0.39235880935164935,-0.4031294316557234,-0.3919472056524398,-0.40333318333835166,-0.3920416171575091,1.3587436417142331,0.28167453056943104,0.0002403489885521861,0.00016424681887586772
